,ADMIN_ORDER,ISO_COUNTRY_CODE,ADMIN_PLACE_NAME,ORDER1_NAME,ORDER8_NAME,BUILTUP_NAME
0,9,ISR,Shuweika,HaGada HaMa'aravit,Ezor B,Shuweika
1,9,ISR,Beit Ta'mir,HaGada HaMa'aravit,Ezor A,Beit Ta'mir
2,9,ISR,Beit Jala,HaGada HaMa'aravit,Judea and Samaria,Beit Jala
3,9,ISR,Ras Atawil,HaGada HaMa'aravit,Judea and Samaria,Ras Atawil
4,9,ISR,Taffuh,HaGada HaMa'aravit,Ezor A,Taffuh
5,9,ISR,Deir Samit,HaGada HaMa'aravit,Ezor B,Deir Samit
6,9,ISR,Aluja,HaGada HaMa'aravit,Judea and Samaria,Aluja
7,9,ISR,Meithalun,HaGada HaMa'aravit,Ezor A,Meithalun
8,9,ISR,Ar Rihya,HaGada HaMa'aravit,Ezor A,Ar Rihya
9,9,ISR,Ammuriya,HaGada HaMa'aravit,Ezor A,Ammuriya
10,9,ISR,Wadi Al Arayis,HaGada HaMa'aravit,Ezor A,Wadi Al Arayis
11,9,ISR,Tayasir,HaGada HaMa'aravit,Ezor A,Tayasir
12,9,ISR,Urif,HaGada HaMa'aravit,Ezor B,Urif
13,9,ISR,Umm Lsafa,HaGada HaMa'aravit,Ezor B,Umm Lsafa
14,9,ISR,Beit Duqqu,HaGada HaMa'aravit,Ezor B,Beit Duqqu
15,9,ISR,Beit Ur Al Fuqa,HaGada HaMa'aravit,Ezor B,Beit Ur Al Fuqa
16,9,ISR,Zububa,HaGada HaMa'aravit,Ezor B,Zububa
17,9,ISR,Abu Njaim,HaGada HaMa'aravit,Ezor B,Abu Njaim
18,9,ISR,Qusra,HaGada HaMa'aravit,Ezor B,Qusra
19,9,ISR,Al Jab'a,HaGada HaMa'aravit,Ezor B,Al Jab'a
20,9,ISR,Al Bira,HaGada HaMa'aravit,Ezor B,Al Bira
21,9,ISR,Tawas,HaGada HaMa'aravit,Ezor B,Tawas
22,9,ISR,Al Lubban Al Gharbi,HaGada HaMa'aravit,Ezor B,Al Lubban Al Gharbi
23,9,ISR,Anata,HaGada HaMa'aravit,Ezor B,Anata
24,9,ISR,Saffa,HaGada HaMa'aravit,Ezor B,Saffa
25,9,ISR,Jit,HaGada HaMa'aravit,Ezor B,Jit
26,9,ISR,Izbat Alshqar,HaGada HaMa'aravit,Ezor B,Izbat Alshqar
27,9,ISR,Kobar,HaGada HaMa'aravit,Ezor B,Kobar
28,9,ISR,Dir Al Asal Atahta,HaGada HaMa'aravit,Ezor B,Dir Al Asal Atahta
29,9,ISR,Burqa,HaGada HaMa'aravit,Ezor B,Burqa
30,9,ISR,Idhna,HaGada HaMa'aravit,Ezor B,Idhna
31,9,ISR,Habbla,HaGada HaMa'aravit,Ezor B,Habbla
32,9,ISR,Achia,HaGada HaMa'aravit,Judea and Samaria,Achia
33,9,ISR,Zaiet Ra'anan,HaGada HaMa'aravit,Judea and Samaria,Zaiet Ra'anan
